Município;Cargo;Número;Nome do Candidato;Nome para Urna;Votos Computados;% Votos Computados;Destinação de Votos;Situação da Totalização;Partido;Partido/Coligação
"JUAZEIRO DO NORTE";"Vereador            ";"50000";"ANTONIO OLIVEIRA DA SILVA";"TOIN DE DÃO";134;0,10;"Válido";"Não eleito";"PSOL";"PSOL"
"JUAZEIRO DO NORTE";"Vereador            ";"18111";"JOSÉ GILDON PEREIRA SILVA";"GILDON DO DESINFETANTE";133;0,10;"Válido";"Suplente";"REDE";"REDE"
"JUAZEIRO DO NORTE";"Vereador            ";"19010";"RAFAELA LOPES DE LIMA FERREIRA";"RAFAELA LOPES";133;0,10;"Válido";"Suplente";"PODE";"PODE"
"JUAZEIRO DO NORTE";"Vereador            ";"45222";"EDUARDO FERREIRA MATIAS";"DUDU DELICIA";132;0,10;"Válido";"Suplente";"PSDB";"PSDB"
"JUAZEIRO DO NORTE";"Vereador            ";"33334";"SARATIEL TAVARES BATISTA";"BIEL";130;0,10;"Válido";"Suplente";"PMN";"PMN"
"JUAZEIRO DO NORTE";"Vereador            ";"22789";"FRANCIELDO HENRIQUE DE FREITAS";"FRANCIELDO";129;0,10;"Válido";"Suplente";"PL";"PL"
"JUAZEIRO DO NORTE";"Vereador            ";"19555";"LUIS BARBOSA DA SILVA";"PADRE LUIS BARBOSA";129;0,10;"Válido";"Suplente";"PODE";"PODE"
"JUAZEIRO DO NORTE";"Vereador            ";"55001";"ALEXSANDRA DA SILVA VIEIRA";"ALÊ";127;0,09;"Válido";"Suplente";"PSD";"PSD"
"JUAZEIRO DO NORTE";"Vereador            ";"33789";"AURINEIDE ALMEIDA BARBOSA";"NEIDE";124;0,09;"Válido";"Suplente";"PMN";"PMN"
"JUAZEIRO DO NORTE";"Vereador            ";"23222";"MARIA DAYANE FELIX DE MORAIS";"DAYANE MORAIS";124;0,09;"Válido";"Suplente";"CIDADANIA";"CIDADANIA"
"JUAZEIRO DO NORTE";"Vereador            ";"27456";"JOSE GEAN DE FREITAS";"GEAN FREITAS";123;0,09;"Válido";"Suplente";"DC";"DC"
"JUAZEIRO DO NORTE";"Vereador            ";"23333";"CICERA NUNES SILVA";"CICERA NUNES";123;0,09;"Válido";"Suplente";"CIDADANIA";"CIDADANIA"
"JUAZEIRO DO NORTE";"Vereador            ";"18999";"CICERO JOHNNY ALVES MOTA";"JOHNNY ALVES";122;0,09;"Válido";"Suplente";"REDE";"REDE"
"JUAZEIRO DO NORTE";"Vereador            ";"10451";"ANDRE SANTOS SILVA";"ANDRÉ FUMÊ";121;0,09;"Válido";"Suplente";"REPUBLICANOS";"REPUBLICANOS"
"JUAZEIRO DO NORTE";"Vereador            ";"19123";"ALONÇO DE SOUZA PAULO";"ALONÇO SOUZA";121;0,09;"Válido";"Suplente";"PODE";"PODE"
"JUAZEIRO DO NORTE";"Vereador            ";"23000";"MARIA DO SOCORRO DE SOUZA LEITE";"SOCORRO LEITE";120;0,09;"Válido";"Suplente";"CIDADANIA";"CIDADANIA"
"JUAZEIRO DO NORTE";"Vereador            ";"45123";"FRANCISCO SILVA SANTANA";"JUNIOR DE MAURO";120;0,09;"Válido";"Suplente";"PSDB";"PSDB"
"JUAZEIRO DO NORTE";"Vereador            ";"40800";"ANA MIRELA NEVES MARQUES";"MIRELA MARQUES";114;0,08;"Válido";"Suplente";"PSB";"PSB"
"JUAZEIRO DO NORTE";"Vereador            ";"13789";"HERMELINDA PEREIRA DE ARAÚJO";"HERMELINDA PEREIRA";111;0,08;"Válido";"Não eleito";"PT";"PT"
"JUAZEIRO DO NORTE";"Vereador            ";"33234";"MARIA LUCEILDE MOREIRA";"LÚ DA SAÚDE";111;0,08;"Válido";"Suplente";"PMN";"PMN"
"JUAZEIRO DO NORTE";"Vereador            ";"19666";"JOSÉ SILVA GOMES";"J GOMES";111;0,08;"Válido";"Suplente";"PODE";"PODE"
"JUAZEIRO DO NORTE";"Vereador            ";"50555";"MARCELA MASTROIANNE NASCIMENTO VILANOVA";"MARCELA VILANOVA";111;0,08;"Válido";"Não eleito";"PSOL";"PSOL"
"JUAZEIRO DO NORTE";"Vereador            ";"14551";"CARLOS VINICIUS ROCHA DA SILVA";"CABO VINICIUS";109;0,08;"Válido";"Suplente";"PTB";"PTB"
"JUAZEIRO DO NORTE";"Vereador            ";"55123";"JOSE DERIVALDO NUNES DE OLIVEIRA";"DERIVALDO OLIVEIRA";109;0,08;"Válido";"Suplente";"PSD";"PSD"
"JUAZEIRO DO NORTE";"Vereador            ";"22234";"MICHEL DANTAS DE MELO";"MICHEL DANTAS";109;0,08;"Válido";"Suplente";"PL";"PL"
"JUAZEIRO DO NORTE";"Vereador            ";"14777";"EDUARDO GOMES MACHADO";"EDUARDO MACHADO";108;0,08;"Válido";"Suplente";"PTB";"PTB"
"JUAZEIRO DO NORTE";"Vereador            ";"23700";"JOSÉ AILTON DE ANDRADE VIANA";"MISSIONÁRIO AILTON";106;0,08;"Válido";"Suplente";"CIDADANIA";"CIDADANIA"
"JUAZEIRO DO NORTE";"Vereador            ";"40190";"MARINILSON PEREIRA DOS SANTOS";"SARGENTO MARINILSON";102;0,08;"Válido";"Suplente";"PSB";"PSB"
"JUAZEIRO DO NORTE";"Vereador            ";"13113";"ARTHUR RODRIGUES DA SILVA";"ARTHUR ANGEL";101;0,08;"Válido";"Não eleito";"PT";"PT"
"JUAZEIRO DO NORTE";"Vereador            ";"13133";"RAIMUNDO NONATO DA SILVA";"O NONATO";99;0,07;"Válido";"Não eleito";"PT";"PT"
"JUAZEIRO DO NORTE";"Vereador            ";"40113";"ANA LUCIA DE SOUZA";"ANNA SOUZA";98;0,07;"Válido";"Suplente";"PSB";"PSB"
"JUAZEIRO DO NORTE";"Vereador            ";"36215";"ELIANDSON GOMES ALVES";"NANDO GOMES";98;0,07;"Válido";"Não eleito";"PTC";"PTC"
"JUAZEIRO DO NORTE";"Vereador            ";"33555";"JOSÉ INÁCIO GOMES";"REPÓRTER JUÁ";97;0,07;"Válido";"Suplente";"PMN";"PMN"
"JUAZEIRO DO NORTE";"Vereador            ";"36111";"DIEGO MIRELLE TENÓRIO SILVA";"DIEGO TENORIO";97;0,07;"Válido";"Não eleito";"PTC";"PTC"
"JUAZEIRO DO NORTE";"Vereador            ";"14331";"LEDIVAN DANTAS DOS SANTOS";"LEDIVAN DANTAS";96;0,07;"Válido";"Suplente";"PTB";"PTB"
"JUAZEIRO DO NORTE";"Vereador            ";"13333";"FRANCISCO AELIO DE SOUSA";"AELIO DO ASFALTO";94;0,07;"Válido";"Não eleito";"PT";"PT"
"JUAZEIRO DO NORTE";"Vereador            ";"70321";"FRANCISCA VALDA ARAÚJO BARBOSA";"VALDA ARAÚJO";94;0,07;"Válido";"Não eleito";"AVANTE";"AVANTE"
"JUAZEIRO DO NORTE";"Vereador            ";"27221";"JOSE JULIO CÉSAR BARBOSA";"CESAR ASA BRANCA";94;0,07;"Válido";"Suplente";"DC";"DC"
"JUAZEIRO DO NORTE";"Vereador            ";"43123";"ALINE DA SILVA DE ALENCAR";"ALINE ALENCAR";94;0,07;"Válido";"Não eleito";"PV";"PV"
"JUAZEIRO DO NORTE";"Vereador            ";"45999";"JOSE BATISTA FILHO";"BATISTA DA MORINGA";93;0,07;"Válido";"Suplente";"PSDB";"PSDB"
"JUAZEIRO DO NORTE";"Vereador            ";"40020";"JOSÉ FERREIRA FILHO";"SARGENTO FILHO/ ZÉ FILHO";93;0,07;"Válido";"Suplente";"PSB";"PSB"
"JUAZEIRO DO NORTE";"Vereador            ";"10134";"ANA PAULA DE MELO";"PAULA MELO";93;0,07;"Válido";"Suplente";"REPUBLICANOS";"REPUBLICANOS"
"JUAZEIRO DO NORTE";"Vereador            ";"27123";"POLIANA SANTANA BEZERRA SOARES";"POLIANA SANTANA";92;0,07;"Válido";"Suplente";"DC";"DC"
"JUAZEIRO DO NORTE";"Vereador            ";"65555";"PEDRO JORGE ALVES SILVA";"PEDRO JORGE, MARAVILHHAS";90;0,07;"Válido";"Não eleito";"PC do B";"PC do B"
"JUAZEIRO DO NORTE";"Vereador            ";"27020";"ANTONIO CRISTIAN NUNES DA SILVA";"CRISTIAN NUNES";90;0,07;"Válido";"Suplente";"DC";"DC"
"JUAZEIRO DO NORTE";"Vereador            ";"15888";"MARIA VELEDA CRUZ LANDIM";"VELEDA  LANDIM";89;0,07;"Válido";"Suplente";"MDB";"MDB"
